student_id,password,email
S00005,h4lxEne9wXoo,akhil.iyer005@college.edu
S00070,KEhkhaHn4Peo,vishnu.pillai070@college.edu
S00112,swqDD1FUfx9z,priya.iyer112@college.edu
S00125,cx6Cm4RuCVEX,vishnu.menon125@college.edu
S00145,qclFBBvmMlCM,anand.patel145@college.edu
S00211,3XfIAaZ1PWBj,vishnu.nair211@college.edu
S00220,pQFeyorirArR,anjali.patel220@college.edu
S00221,0RVAORMGvyux,aditya.iyer221@college.edu
S00274,SzMtFw3Es2Ff,sneha.menon274@college.edu
S00294,Vof3eo8MkuxN,sanjay.das294@college.edu
S00301,iTUTBQbVxvCs,arjun.nair301@college.edu
S00321,HAkivYyCmijH,pooja.sharma321@college.edu
S00341,v8Wyl6qSTvdJ,aishwarya.sharma341@college.edu
S00357,B1fWEBbmbqDW,pooja.sharma357@college.edu
S00382,gR7wu7QumnnZ,vishnu.menon382@college.edu
S00406,sXAcZ3vneoFV,meera.iyer406@college.edu
S00443,L1y3hoawqyUj,kavya.nair443@college.edu
S00451,06M51b2hyXAs,pooja.gupta451@college.edu
S00456,NZoLJdoHhCa1,kavya.das456@college.edu
S00515,Y40TsEOzCKyH,divya.kumar515@college.edu
S00564,qStL10ZtL3eU,akhil.reddy564@college.edu
S00590,o5fznScY1vmc,divya.nair590@college.edu
S00607,O9RPMNZax80G,sreya.nair607@college.edu
S00615,aXExVC6tZ1MC,anand.nair615@college.edu
S00618,KQ3l4veAhjyh,arjun.reddy618@college.edu
S00622,L3vHZfV9x9lp,divya.kumar622@college.edu
S00636,kLubTOJZxL5r,anjali.gupta636@college.edu
S00744,0FyyoRq1UpkT,priya.menon744@college.edu
S00751,qFDFjC75oBrU,pooja.gupta751@college.edu
S00771,GAUZP54jR1lp,vishnu.pillai771@college.edu
S00839,SZK3aBWF0UFu,rohit.nair839@college.edu
S00886,6iZilDotyvK2,sreya.das886@college.edu
S00927,kBRR2o7JSR28,sanjay.patel927@college.edu
S00943,Ce3uG9JdZaWg,vishnu.patel943@college.edu
